id,styleId,styleName,category,visual,density,pageType,pageName,filename,status
palace-night-section,palace-night,宫墙夜色,古风与东方幻想,宫墙夜色,中,section,过渡页,palace-night-section.png,generated
palace-night-text,palace-night,宫墙夜色,古风与东方幻想,宫墙夜色,中,text,纯文字页,palace-night-text.png,generated
palace-night-image-text,palace-night,宫墙夜色,古风与东方幻想,宫墙夜色,中,image-text,文字图片页,palace-night-image-text.png,generated
palace-night-data,palace-night,宫墙夜色,古风与东方幻想,宫墙夜色,中,data,数据/要点页,palace-night-data.png,generated
palace-night-closing,palace-night,宫墙夜色,古风与东方幻想,宫墙夜色,中,closing,结尾页,palace-night-closing.png,generated
moonlit-poetry-cover,moonlit-poetry,月下诗意,古风与东方幻想,月下诗意,中,cover,封面页,moonlit-poetry-cover.png,generated
moonlit-poetry-agenda,moonlit-poetry,月下诗意,古风与东方幻想,月下诗意,中,agenda,目录页,moonlit-poetry-agenda.png,generated
moonlit-poetry-section,moonlit-poetry,月下诗意,古风与东方幻想,月下诗意,中,section,过渡页,moonlit-poetry-section.png,generated
moonlit-poetry-text,moonlit-poetry,月下诗意,古风与东方幻想,月下诗意,中,text,纯文字页,moonlit-poetry-text.png,generated
moonlit-poetry-image-text,moonlit-poetry,月下诗意,古风与东方幻想,月下诗意,中,image-text,文字图片页,moonlit-poetry-image-text.png,generated
moonlit-poetry-data,moonlit-poetry,月下诗意,古风与东方幻想,月下诗意,中,data,数据/要点页,moonlit-poetry-data.png,generated
moonlit-poetry-closing,moonlit-poetry,月下诗意,古风与东方幻想,月下诗意,中,closing,结尾页,moonlit-poetry-closing.png,generated
mythic-clouds-cover,mythic-clouds,神话祥云,古风与东方幻想,神话祥云,中,cover,封面页,mythic-clouds-cover.png,generated
mythic-clouds-agenda,mythic-clouds,神话祥云,古风与东方幻想,神话祥云,中,agenda,目录页,mythic-clouds-agenda.png,generated
mythic-clouds-section,mythic-clouds,神话祥云,古风与东方幻想,神话祥云,中,section,过渡页,mythic-clouds-section.png,generated
mythic-clouds-text,mythic-clouds,神话祥云,古风与东方幻想,神话祥云,中,text,纯文字页,mythic-clouds-text.png,generated
mythic-clouds-image-text,mythic-clouds,神话祥云,古风与东方幻想,神话祥云,中,image-text,文字图片页,mythic-clouds-image-text.png,generated
mythic-clouds-data,mythic-clouds,神话祥云,古风与东方幻想,神话祥云,中,data,数据/要点页,mythic-clouds-data.png,generated
mythic-clouds-closing,mythic-clouds,神话祥云,古风与东方幻想,神话祥云,中,closing,结尾页,mythic-clouds-closing.png,generated
